date,position,Junior,link,company,source,source_title,region,ifremoute,summary,,,,,,,,,
12/5/2022,Data Analyst,0,,scandiweb,2,hh,Georgia,remote,no feedback,Source,1,LinkedIn,Ifremote,1,remote,Summary,0,No feedback
12/5/2022,Data Analyst,0,,BettingJobs.com,1,LinkedIn,Malta,hybrid,no feedback,,2,hh,,2,hybrid,,1,Reject
12/5/2022,Game Analyst,0,,PokerStars,1,LinkedIn,UK,hybrid,reject,,3,habrcareer,,3,office,,2,Interwiev
12/5/2022,Game Analyst,0,,PokerStars,1,LinkedIn,UK,hybrid,reject,,4,TG,,,,,,
12/5/2022,Game Analyst,0,,Betclic Group,1,LinkedIn,Malta,hybrid,reject,,5,Superjob,,,,,,
12/6/2022,Analyst,1,,glowbyteconsulting.com/,2,hh,Russia,remote,no feedback,,6,Glassdoor,,,,,,
12/7/2022,other,0,,ООО ОТР,2,hh,Russia,remote,reject,,7,other,,,,,,
12/8/2022,Product Analyst,1,,Uchi.ru,2,hh,Russia,remote,reject,,8,FB,,,,,,
12/9/2022,BI Analyst,0,,ТД «Рос-Пак»,2,hh,Russia,remote,reject,,9,Geekjobs,,,,,,
12/9/2022,Data Analyst,0,,https://europlan.ru/,3,habrcareer,Russia,remote,no feedback,,10,Netology,,,,,,
12/9/2022,Data Analyst,0,,Sportmaster Lab,2,hh,Russia,remote,reject,,,,,,,,,
12/9/2022,Data Analyst,0,,SpotOn Connections,1,LinkedIn,Malta,no info,reject,,,,,,,,,
12/10/2022,Analyst,1,,ЗАО МОСТ,2,hh,Russia,remote,reject,,,,,,,,,
12/10/2022,Business Analyst,0,,Steford,4,TG,Russia,no info,reject,,,,,,,,,
12/10/2022,Fraud Analyst,0,,The Mill Adventure,1,LinkedIn,Malta,office,reject,,,,,,,,,
12/11/2022,Data Analyst,0,,МАГНИТ,2,hh,Russia,remote,no feedback,,,,,,,,,
12/11/2022,Analyst,0,,Яндекс,5,Superjob,Russia,remote,reject,,,,,,,,,
12/11/2022,Analyst,0,,ООО АртЛаб Групп,2,hh,Russia,remote,reject,,,,,,,,,
